heading,body
Karnataka govt issues guidelines following Nipah outbreak in neighbouring Kerala,Avoiding unnecessary travel to the affected area in Kerala and intensifying fever surveillance in the bordering districts are among the guidelines issued by Karnataka government following the Nipah outbreak in the neighbouring state.
K'taka: Court refuses to stay Ganesh Chaturthi celebrations at Hubbali-Dharwad's Idgah ground,"Hubballi (Karnataka) [India], September 15 (ANI): Karnataka High Court on Friday rejected Muslim body Anjuman-e-Islam's petition seeking stay on permission granted by the Dharwad Municipal Commissioner to certain Hindu outfits for Ganesh Chaturthi celebrations at the Idgah maidan in Hubbali-Dharwad."
Sanatan Dharma does not teach anyone to keep other religions away: Kamal Nath,Bhopal: Senior Congress leader Kamal Nath on Friday said India is home to many religions and Sanatan Dharma does not teach anyone to keep other faiths away.
"Engineer's Day: Amit Shah greets technocrats for their contribution ""to every sector of economy"", nation-building",New Delhi [India] September 15 (ANI): Home Minister Amit Shah on Friday greeted all technocrats on Engineer's Day for their pivotal role in nation-building by contributing to every sector of the economy.
"Bihar boat tragedy: 2 bodies recovered, 11 still missing as search continues",Two bodies were recovered as the search operation continued on Friday for the people who went missing after a boat capsized in the Bagmati river in Bihar's Muzaffarpur district on Thursday.
Earth's warmest August saw 65 countries set record high temperatures: Report,"New Delhi: Thirteen per cent of the Earth's surface, spanning 65 countries, experienced record high temperatures in August, while the rest of the world braved significantly higher temperatures compared to the 1951-1980 average, according to a new analysis conducted by an independent US-based non-profit organisation."
Abu Dhabi Government delegation visits Singapore to gain insight on advanced governance practices,"Abu Dhabi [UAE], September 15 (ANI/WAM): Abu Dhabi government delegation led by Ahmed Tamim Hisham Al Kuttab, Chairman of Abu Dhabi's Department of Government Support (DGS), concluded a three-day visit to Singapore to gain insight on the Republic's best practices across a multitude of Abu Dhabi government priority areas."
Karnataka govt issues guidelines following Nipah outbreak in neighbouring Kerala,Bengaluru: Avoiding unnecessary travel to the affected area in Kerala and intensifying fever surveillance in the bordering districts are among the guidelines issued by Karnataka government following the Nipah outbreak in the neighbouring state.
Rajouri Martyr Rifleman Ravi Cremated With Full Military Honours In Kishtwar,A soldier's family in Jammu and Kashmir's Kishtwar was preparing for his marriage in December but fate had something else in store as the braveheart laid down his life fighting terrorists in Rajouri district.
Telangana CM's Daughter K Kavitha Granted Relief From ED Summons Till Sept 26,"Bharat Rashtra Samithi (BRS) MLC K Kavitha, who is the daughter of Telangana Chief Minister K Chandrasekhar Rao, will not be summoned to the Enforcement Directorate (ED) office until the next hearing in the Supreme Court, which has been adjourned to September 26."
Hemant Soren's Plea Against ED Summons To Be Heard On September 18,The Supreme Court on Friday adjourned to September 18 the hearing on Jharkhand Chief Minister Hemant Soren's plea against the Enforcement Directorate's (ED) summons in an alleged money laundering case.
"Journalist Arrested For 'criminal Conspiracy', 'extortion' In J-K","A journalist was arrested here for alleged criminal conspiracy and extortion, police said on Friday."
PM Modi to launch 'PM Vishwakarma' scheme on Sunday,"New Delhi: Prime Minister Narendra Modi will launch a new scheme ""PM Vishwakarma"" to help artisans and craftsmen and those engaged in traditional skills on the occasion of 'Vishwakarma Jayanti' on September 17."
45-year-old man held for molesting teenage girl at suburban train station in Thane district,"Thane, Sep 15 (PTI) A 45-year-old man has been arrested by the Government Railway Police (GRP) for allegedly molesting a teenage girl while getting down from a suburban train in Thane district, an official said on Friday."
"Flash floods wash away culvert on Jammu-Rajouri highway, traffic diverted","Rajouri/Jammu: Flash floods triggered by heavy rains washed away a culvert on the Jammu-Rajouri highway, prompting authorities to divert traffic, officials said on Friday."
India-Middle East-Europe corridor not a counter to China's BRI: Jaishankar,"India's foreign minister S Jaishankar asserted that the new multinational rail and shipping route connecting India and the Middle East to Europe does not pose any threat to China's Belt and Road Initiative (BRI), and dissuaded efforts to portray the US-backed project as a counter to Beijing's multibillion dollar infrastructure project."
Tamil Nadu is No.2 in economic growth: Govt report,The highlight of the week is that Tamil Nadu has reached 2nd place in terms of economic growth at the national level. The Union government's Ministry of Statistics and Programme Implementation has been publishing the annual production value of each state.
'People are going to blacklist this alliance': Jyotiraditya Scindia after I.N.D.I.A boycotts news anchors,"After the Opposition bloc I.N.D.I.A came up with a list 14 of television anchors it will boycott, Union Minister Jyotiraditya Scindia said that the alliance will soon get blacklisted by the people of the country."
Co-pilot injured in private jet crash in Mumbai moved to another hospital,"Neil Diwan, the co-pilot of a private jet that skidded off the runway at Mumbai airport suffered a spinal injury and has been moved to another hospital for surgery, Dr Deepak Namjoshi, the director of Criticare Asia hospital said on Friday."
"Mahadev App Scam: ED Searches Multiple Premises In Kolkata, Bhopal And Mumbai; ₹417 Cr Seized","In a massive action against the online gambling app Mahadev Book money laundering case, the Enforcement Directorate (ED) on Friday said that it has seized Rs 417 crore after carrying out searches in Kolkata, Bhopal, Mumbai."
BJP attacks I.N.D.I alliance leaders batting for talks with Pakistan amid Anantnag encounter,The Bharatiya Janata Party (BJP) on Friday attacked the I.N.D.I alliance leaders who have been giving anti-India statements and are batting for talks with Pakistan even as the encounter with terrorists backed by the neighbouring country rages in Jammu and Kashmir's Anantnag.
Will extend date of summons to K Kavitha by 10 days: ED to SC,New Delhi: The Enforcement Directorate (ED) on Friday told the Supreme Court it will extend by 10 days the date of summons issued to BRS leader K Kavitha in connection with the Delhi Excise Policy case.
3 members of family killed in UP's Kaushambi over land disupte; 2 accused held,"Three members of a family were shot dead allegedly in a land dispute case here in Uttar Pradesh's Kaushambi district, a top police official said on Friday."
Delhi Excise Policy Case: Supreme Court Defers Bail Plea Of Manish Sisodia To October 4,J
J-K News: Two Terrorists Arrested In Baramulla; Security Forces Seize Huge Weapons,J
"Odisha Teachers Strike: Over 50,000 Schools Hit As 1.30 Lakh Teachers Go On Strike, Demand Pay Raise And OPS",J
Vistara Announces Direct Flights Everyday Between Delhi And Hong Kong; Check Details,J
Won't press for K Kavitha's questioning in Delhi excise policy case: ED tells SC,"The Enforcement Directorate (ED) on Friday told the Supreme Court it will not press for the appearance of K Kavitha, Bharat Rashtra Samithi (BRS) legislator and Telangana chief minister K Chandrasekhar Rao's daughter, for questioning over the alleged scam related to now-scrapped Delhi excise policy until the court considers her petition against the summons and the agency's proceedings."
Ramcharitmanas contains potassium cyanide': Bihar education minister Chandra Shekhar,"Patna: Bihar Education minister Chandra Shekhar has stirred a fresh controversy by claiming that ancient scriptures like the Ramcharitmanas had elements pernicious enough to be likened to ""potassium cyanide""."
Radio collars not to blame for Kuno cheetah deaths: Project Cheetah head,"Amid speculation that the deaths of cheetahs at Kuno National Park might be related to possible infection linked to radio collars, Head of Project Cheetah SP Yadav denied it and said that ""not a single cheetah died due radio collars""."
3 members of family killed in UP's Kaushambi over land disupte; 2 accused held,"Kaushambi (Uttar Pradesh) [India], September 15 (ANI): Three members of a family were shot dead allegedly in a land dispute case here in Uttar Pradesh's Kaushambi district, a top police official said on Friday."
LS polls a civilizational fight to protect Sanatan Dharma: Assam CM,"Patna, Sep 15 (PTI) Assam Chief Minister Himanta Biswa Sarma on Friday dubbed the upcoming Lok Sabha polls as a ""civilizational fight"" in which the people of the country will vote for ""protecting the Sanatan Dharma""."
"200 hours dedicated on G20 Ukraine paras, emerging markets played key role: India's Sherpa Amitabh Kant","India's G20 Sherpa Amitabh Kant has hailed the recently concluded G20 Summit as ""one of the greatest diplomatic victories for India"" which saw a resounding display of multilateral cooperation."
"Bihar boat tragedy: Three bodies recovered, rescue operation continues","A day after a boat carrying around 30 children capsized in the Bagmati River in Bihar's Muzaffarpur district, separate teams of SDRF and NDRF have managed to find three bodies so far, said officials on Friday, adding that the rescue operation was continuing."
Nitin Gadkari's Waste-Management Push: Centre To Bring In Garbage-To-Roads Policy On Gandhi Jayanti,"This Gandhi Jayanti, the Centre is planning to launch a new policy aimed at reducing the burden of garbage by using it in the construction of roads."
"Heavy rainfall likely in these states; IMD issues red alert for Maharashtra, MP","The India Meteorological Department (IMD) on Friday issued a red alert for southwest Madhya Pradesh, predicting extremely heavy rainfall for the next three days."
